ubigeo,departamento,distrito,promedio_semanal,mediana_semanal,maximo_semanal,desviacion_semanal,pct_semanas_alta,crecimiento_promedio,frecuencia_semanas_con_casos,semana_pico,cluster,pca_1,pca_2
140115,LAMBAYEQUE,SA�A,0.7962962962962963,0.0,42,3.4420043128947824,0.12037037037037036,0.05239847726129985,0.12129629629629629,11.0,1,-0.7070676515773588,-0.1155110593260627
140116,LAMBAYEQUE,CAYALTI,1.6795937211449676,0.0,183,10.074781284614263,0.13850415512465375,0.06361964372529258,0.13850415512465375,15.0,1,-0.02829259414480715,-0.5408728798615383
140117,LAMBAYEQUE,PATAPO,2.0678513731825525,0.0,312,12.967970374807472,0.22051696284329564,0.09084725419550843,0.22132471728594508,3.0,0,0.5912522770442247,-0.6449881434564683
140118,LAMBAYEQUE,POMALCA,1.099756690997567,0.0,249,9.839949109672606,0.12652068126520682,0.06339550012865917,0.1273317112733171,17.0,1,0.026401044853058612,-0.6983429564924928
140119,LAMBAYEQUE,PUCALA,0.6366612111292962,0.0,38,2.8420903503454142,0.12438625204582651,0.048119666536088825,0.12520458265139117,20.0,1,-0.7453321754812877,-0.07794362573452254
140120,LAMBAYEQUE,TUMAN,1.7649918962722853,0.0,88,7.754741721376049,0.14910858995137763,0.06353649557064411,0.14991896272285252,14.0,1,-0.288200819892146,-0.25007906127855384
140201,LAMBAYEQUE,FERRE�AFE,3.149637972646822,0.0,202,15.210620187289182,0.1263073209975865,0.032696689869742744,0.12711182622687048,20.0,1,0.3241173756510233,-0.7662083342275627
140204,LAMBAYEQUE,MANUEL ANTONIO MESONES MURO,0.82,0.0,20,2.3960244851280907,0.21666666666666667,0.09050062010911901,0.21666666666666667,6.0,1,-0.5793722586061044,0.2405552441674456
140205,LAMBAYEQUE,PITIPO,1.077724358974359,0.0,80,5.091585940113403,0.15625,0.07878689045832409,0.15625,20.0,1,-0.4568915917456355,-0.13716026075849094
140206,LAMBAYEQUE,PUEBLO NUEVO,3.039473684210526,0.0,37,6.886659088934359,0.34210526315789475,0.10315590077379325,0.34210526315789475,12.0,1,0.13599817708215395,0.4303489860126774
140301,LAMBAYEQUE,LAMBAYEQUE,2.037509976057462,0.0,151,11.644276516961112,0.09337589784517158,0.03506442419996785,0.09417398244213887,19.0,1,-0.10934765236085002,-0.6498454825372957
140302,LAMBAYEQUE,CHOCHOPE,0.1279373368146214,0.0,23,1.1513768242298374,0.024804177545691905,0.019115524997877942,0.02610966057441253,16.0,1,-1.1102515380563365,-0.29125258341981003
140303,LAMBAYEQUE,ILLIMO,0.8614020950846092,0.0,44,4.075848281106642,0.10878323932312652,0.0460041094709246,0.10878323932312652,53.0,1,-0.702362359090082,-0.1737188439729264
140304,LAMBAYEQUE,JAYANCA,1.0305220883534136,0.0,117,6.39332232959943,0.1534136546184739,0.06280439890249871,0.1534136546184739,20.0,1,-0.3413046961023363,-0.2551789731161823
140305,LAMBAYEQUE,MOCHUMI,0.5303152789005658,0.0,28,2.8086529274383087,0.05982215036378335,0.013831104818019318,0.060630557801131774,33.0,1,-0.9238452823595356,-0.24654693384374735
140306,LAMBAYEQUE,MORROPE,0.27228915662650605,0.0,47,2.228096234916952,0.05542168674698795,0.022220459982336183,0.05622489959839357,17.0,1,-0.9374347002917812,-0.281266799060827
